AsOfDate,AssignedDate,TriggeringEventDescription,HasExceptionHigh,HasExceptionLow,Account Number,Account Name,LOB,User ID,User Email,User Short Name,User Display Name
9/21/2025 0:00,9/22/2025 11:45,BORROWER Added,1,1,6293508,Clearbrook Ventures LTD,Commercial Real Estate,W992078,pat.parker@cibc.com,ad\pparker,Pat Parker
9/22/2025 0:00,9/23/2025 14:35,CO-BORROWER Added,,1,7394619,Sunbrook Capital LLC,Private Wealth,W992079,quinn.quinn@cibc.com,ad\qquinn,Quinn Quinn
9/23/2025 0:00,9/24/2025 9:15,Commitment Amount Increased,1,1,8495720,Ridgebrook Holdings INC,Commercial Banking,W992083,uma.underwood@cibc.com,ad\uunderwood2,Uma Underwood
9/24/2025 0:00,9/25/2025 10:10,Commitment Renewal Date Changed,1,1,9596831,Maplebrook Capital LTD,Other,W992088,zack.zhang@cibc.com,ad\zzhang,Zack Zhang
9/25/2025 0:00,9/26/2025 12:25,New Commitment,1,1,1697942,Northbrook Ventures LLC,Commercial Real Estate,W992093,ella.evans@cibc.com,ad\eevans,Ella Evans
9/26/2025 0:00,9/27/2025 14:00,BORROWER Added,1,1,2798053,Westbrook Advisory INC,Private Wealth,W992097,iris.irwin@cibc.com,ad\iirwin2,Iris Irwin
9/27/2025 0:00,9/28/2025 15:10,CO-BORROWER Added,,,3899164,Eastbrook Holdings LTD,Commercial Banking,W992102,nick.nelson@cibc.com,ad\nnelson2,Nick Nelson
9/28/2025 0:00,9/29/2025 13:30,Commitment Amount Increased,1,1,4900275,Goldbrook Advisory LLC,Commercial Real Estate,W992106,rick.roberts@cibc.com,ad\rroberts2,Rick Roberts
9/29/2025 0:00,9/30/2025 11:05,Commitment Renewal Date Changed,1,1,5001386,Ironbrook Ventures INC,Private Wealth,W992109,una.underwood@cibc.com,ad\uunderwood3,Una Underwood
9/30/2025 0:00,10/1/2025 12:50,New Commitment,1,,6102497,Clearbrook Advisory LTD,Retail & Digital Banking,W992112,xena.xu@cibc.com,ad\xxu2,Xena Xu
10/1/2025 0:00,10/2/2025 9:35,BORROWER Added,1,1,7203508,Sunbrook Advisory LLC,Commercial Banking,W992117,carl.clark@cibc.com,ad\cclark2,Carl Clark
10/2/2025 0:00,10/3/2025 14:45,CO-BORROWER Added,,1,8304619,Ridgebrook Ventures INC,Commercial Real Estate,W992119,evan.evans@cibc.com,ad\eevans2,Evan Evans
10/3/2025 0:00,10/4/2025 10:10,Commitment Amount Increased,1,1,9405720,Maplebrook Holdings LTD,Private Wealth,W992120,faye.foster@cibc.com,ad\ffoster3,Faye Foster
10/4/2025 0:00,10/5/2025 11:20,Commitment Renewal Date Changed,1,1,1506831,Northbrook Advisory LLC,Commercial Banking,W992001,michael.nash@cibc.com,ad\mnash,Michael Nash
10/5/2025 0:00,10/6/2025 13:55,New Commitment,1,1,2607942,Westbrook Holdings LTD,Commercial Real Estate,W992003,oscar.patel@cibc.com,ad\opatel,Oscar Patel
10/6/2025 0:00,10/7/2025 15:40,BORROWER Added,1,1,3708053,Eastbrook Ventures LLC,Other,W992032,steven.turner@cibc.com,ad\sturner,Steven Turner
10/7/2025 0:00,10/8/2025 10:35,CO-BORROWER Added,,1,4809164,Goldbrook Holdings INC,Private Wealth,W992034,victor.valdez@cibc.com,ad\vvaldez,Victor Valdez
10/8/2025 0:00,10/9/2025 11:50,Commitment Amount Increased,1,1,5910275,Ironbrook Capital LTD,Commercial Banking,W992039,betty.campbell@cibc.com,ad\bcampbell,Betty Campbell
10/9/2025 0:00,10/10/2025 13:20,Commitment Renewal Date Changed,1,1,6011386,Clearbrook Holdings LLC,Commercial Real Estate,W992044,gary.hamilton@cibc.com,ad\ghamilton,Gary Hamilton
10/10/2025 0:00,10/11/2025 14:55,New Commitment,1,1,7112497,Sunbrook Holdings INC,Private Wealth,W992055,sandra.stone@cibc.com,ad\sstone,Sandra Stone
10/11/2025 0:00,10/12/2025 9:35,BORROWER Added,1,1,8213508,Ridgebrook Capital LTD,Commercial Banking,W992059,wanda.walker@cibc.com,ad\wwalker,Wanda Walker
10/12/2025 0:00,10/13/2025 10:10,CO-BORROWER Added,,1,9314619,Maplebrook Ventures LLC,Retail & Digital Banking,W992070,hank.harris@cibc.com,ad\hharris,Hank Harris
10/13/2025 0:00,10/14/2025 11:30,Commitment Amount Increased,1,1,1415720,Northbrook Capital INC,Commercial Real Estate,W992074,leo.lewis@cibc.com,ad\llewis,Leo Lewis
10/14/2025 0:00,10/15/2025 15:15,Commitment Renewal Date Changed,1,1,2516831,Westbrook Capital LTD,Private Wealth,W992075,mia.martin@cibc.com,ad\mmartin,Mia Martin
10/15/2025 0:00,10/16/2025 12:45,New Commitment,1,1,3617942,Eastbrook Capital LLC,Commercial Banking,W992080,ray.roberts@cibc.com,ad\rroberts,Ray Roberts
10/16/2025 0:00,10/17/2025 13:55,BORROWER Added,1,1,4718053,Goldbrook Capital INC,Commercial Real Estate,W992085,wes.white@cibc.com,ad\wwhite2,Wes White
10/17/2025 0:00,10/18/2025 15:30,CO-BORROWER Added,,,5819164,Ironbrook Holdings LLC,Other,W992089,anna.allen@cibc.com,ad\aallen,Anna Allen
10/18/2025 0:00,10/19/2025 9:30,Commitment Amount Increased,1,1,6920275,Clearbrook Capital INC,Private Wealth,W992092,dean.davis@cibc.com,ad\ddavis2,Dean Davis
10/19/2025 0:00,10/20/2025 10:20,Commitment Renewal Date Changed,1,1,7021386,Sunbrook Capital LTD,Commercial Banking,W992095,gwen.garcia@cibc.com,ad\ggarcia2,Gwen Garcia
10/20/2025 0:00,10/21/2025 11:45,New Commitment,1,1,8122497,Ridgebrook Advisory LLC,Commercial Real Estate,W992099,kim.king@cibc.com,ad\kking2,Kim King
10/21/2025 0:00,10/22/2025 14:35,BORROWER Added,1,,9223508,Maplebrook Advisory INC,Private Wealth,W992104,paul.parker@cibc.com,ad\pparker2,Paul Parker
10/22/2025 0:00,10/23/2025 9:15,CO-BORROWER Added,,1,1324619,Northbrook Advisory LTD,Commercial Banking,W992108,ted.taylor@cibc.com,ad\ttaylor2,Ted Taylor
10/23/2025 0:00,10/24/2025 10:10,Commitment Amount Increased,1,1,2425720,Westbrook Advisory LLC,Commercial Real Estate,W992113,yuri.young@cibc.com,ad\yyoung2,Yuri Young
10/24/2025 0:00,10/25/2025 12:25,Commitment Renewal Date Changed,1,,3526831,Eastbrook Advisory INC,Retail & Digital Banking,W992115,adam.allen@cibc.com,ad\aallen2,Adam Allen
10/25/2025 0:00,10/26/2025 14:00,New Commitment,1,1,4627942,Goldbrook Advisory LTD,Private Wealth,W992009,ulysses.vega@cibc.com,ad\uvega,Ulysses Vega
10/26/2025 0:00,10/27/2025 15:10,BORROWER Added,1,1,5728053,Ironbrook Advisory LLC,Commercial Banking,W992007,samuel.taylor@cibc.com,ad\staylor,Samuel Taylor
10/27/2025 0:00,10/28/2025 13:30,CO-BORROWER Added,,1,6829164,Clearbrook Advisory INC,Commercial Real Estate,W992019,emma.fisher@cibc.com,ad\efisher,Emma Fisher
10/28/2025 0:00,10/29/2025 11:05,Commitment Amount Increased,1,,7930275,Sunbrook Advisory LTD,Private Wealth,W992023,irene.jackson@cibc.com,ad\ijackson,Irene Jackson
10/29/2025 0:00,10/30/2025 12:50,Commitment Renewal Date Changed,1,1,8031386,Ridgebrook Advisory INC,Other,W992054,raymond.ross@cibc.com,ad\rross,Raymond Ross
10/30/2025 0:00,10/31/2025 9:35,New Commitment,1,1,9132497,Maplebrook Capital INC,Commercial Banking,W992063,amy.anderson@cibc.com,ad\aanderson,Amy Anderson
